id,name,category,subcategory,description,plain_language_description,risk_level,behavioral_personas,supported_goals,minimum_investment,recommended_monthly_sip,expected_annual_return_min,expected_annual_return_max,historical_volatility,liquidity,withdrawal_time,lock_in_period,tax_efficiency,inflation_protection,expense_ratio,recommended_horizon,ideal_age_range_minimum,ideal_age_range_maximum,ideal_income_range_minimum,ideal_income_range_maximum,credit_score_requirement,risk_profile_requirement,suitable_for_beginners,suitable_for_students,suitable_for_retirement,suitable_for_emergency_fund,shariah_compliant,government_backed,popularity_score,trust_score,potential_risks,search_terms
liquid-fund,Liquid Fund,Debt Mutual Fund,Liquid Fund,A debt mutual fund investing in very short-term instruments with a focus on capital stability and quick access.,Liquid Fund: A debt mutual fund investing in very short-term instruments with a focus on capital stability and quick access.,Low,Secure Saver | Conservative Planner,Emergency Fund | Vacation | Car,500.0,500.0,5.0,7.0,0.8,High,1 business day,0,Moderate,False,0.25,1,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,False,False,True,False,False,78.0,82.0,Returns can change with short-term interest rates | Not covered by a bank deposit guarantee,safe investment | liquid | parking money | emergency
overnight-fund,Overnight Fund,Debt Mutual Fund,Overnight Fund,"A debt fund that holds securities maturing overnight, designed to minimise interest-rate sensitivity.","Overnight Fund: A debt fund that holds securities maturing overnight, designed to minimise interest-rate sensitivity.",Low,Secure Saver | Conservative Planner,Emergency Fund | Vacation,500.0,500.0,4.5,6.5,0.2,High,1 business day,0,Moderate,False,0.18,1,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,False,False,True,False,False,65.0,84.0,Returns are usually lower than longer-duration debt funds | Not covered by a bank deposit guarantee,safe investment | overnight | cash parking | emergency
ultra-short-duration-fund,Ultra Short Duration Fund,Debt Mutual Fund,Ultra Short Duration Fund,A short-maturity debt fund intended for money that may be needed within roughly a year.,Ultra Short Duration Fund: A short-maturity debt fund intended for money that may be needed within roughly a year.,Low,Secure Saver | Conservative Planner,Vacation | Car | Emergency Fund,500.0,500.0,5.5,7.5,1.5,High,1-2 business days,0,Moderate,False,0.35,1,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,False,False,True,False,False,69.0,80.0,Credit quality differs by fund | Net asset value can fluctuate modestly,safe investment | short term | ultra short | liquid
money-market-fund,Money Market Fund,Debt Mutual Fund,Money Market Fund,A debt fund investing in money-market instruments with maturities typically under one year.,Money Market Fund: A debt fund investing in money-market instruments with maturities typically under one year.,Low,Secure Saver | Conservative Planner,Vacation | Car | House,500.0,500.0,5.5,7.5,1.8,High,1-2 business days,0,Moderate,False,0.32,1,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,False,False,False,False,False,67.0,81.0,Interest-rate and credit changes can affect returns | Not a fixed-return product,safe investment | money market | short term | cash
corporate-bond-fund,Corporate Bond Fund,Debt Mutual Fund,Corporate Bond Fund,A debt fund mainly holding higher-rated company bonds for investors seeking income with moderate fluctuation.,Corporate Bond Fund: A debt fund mainly holding higher-rated company bonds for investors seeking income with moderate fluctuation.,Medium,Secure Saver | Conservative Planner | Balanced Builder | Strategic Investor,Education | House | Passive Income,500.0,1000.0,6.0,8.5,3.5,Moderate,2-3 business days,0,Moderate,False,0.45,3,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,False,False,False,False,63.0,78.0,Issuer credit risk | Bond prices can fall when interest rates rise,bond | debt income | corporate bond | monthly income
banking-psu-fund,Banking & PSU Fund,Debt Mutual Fund,Banking and PSU Debt Fund,A debt fund investing primarily in bonds issued by banks and public-sector entities.,Banking & PSU Fund: A debt fund investing primarily in bonds issued by banks and public-sector entities.,Low,Secure Saver | Conservative Planner | Balanced Builder,Education | House | Passive Income,500.0,1000.0,6.0,8.0,3.0,Moderate,2-3 business days,0,Moderate,False,0.4,3,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,False,False,False,False,False,58.0,83.0,Interest-rate sensitivity | Sector concentration in financial and public-sector issuers,banking debt | psu bond | safe investment | income
gilt-fund,Gilt Fund,Debt Mutual Fund,Government Securities Fund,"A debt fund investing in government securities, with low default risk but meaningful interest-rate sensitivity.","Gilt Fund: A debt fund investing in government securities, with low default risk but meaningful interest-rate sensitivity.",Medium,Secure Saver | Conservative Planner | Balanced Builder | Strategic Investor,Education | Retirement | Passive Income,500.0,1000.0,5.5,8.5,6.5,Moderate,2-3 business days,0,Moderate,False,0.35,5,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,True,False,False,False,55.0,86.0,Long-duration gilts can fluctuate sharply when rates change | Returns are not fixed,gilt | government bond | debt | retirement
fixed-deposit,Fixed Deposit,Fixed Income,Bank Fixed Deposit,"A bank deposit with a stated interest rate and maturity date, generally used for predictable short- to medium-term goals.","Fixed Deposit: A bank deposit with a stated interest rate and maturity date, generally used for predictable short- to medium-term goals.",Low,Secure Saver | Conservative Planner,Vacation | Education | Marriage | Car,1000.0,0.0,5.5,7.5,0.0,Moderate,Premature withdrawal with penalty,0,Low,False,0.0,2,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,False,False,False,False,False,88.0,88.0,Interest is commonly taxable | Premature withdrawal may reduce returns | Inflation can reduce real purchasing power,safe investment | fd | fixed deposit | guaranteed
recurring-deposit,Recurring Deposit,Fixed Income,Bank Recurring Deposit,A scheduled bank deposit where a fixed amount is contributed each month for a chosen tenure.,Recurring Deposit: A scheduled bank deposit where a fixed amount is contributed each month for a chosen tenure.,Low,Secure Saver | Conservative Planner,Vacation | Education | Marriage | Car,100.0,500.0,5.0,7.0,0.0,Moderate,Premature withdrawal with penalty,0,Low,False,0.0,2,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,True,False,False,False,False,80.0,87.0,Interest is commonly taxable | Returns may not outpace inflation | Early closure can attract a penalty,safe investment | rd | recurring deposit | monthly saving
ppf,PPF,Government Savings,Public Provident Fund,A long-term government savings scheme with a statutory lock-in and tax-aware retirement focus.,PPF: A long-term government savings scheme with a statutory lock-in and tax-aware retirement focus.,Low,Secure Saver | Conservative Planner,Retirement | Tax Saving | Child Education,500.0,500.0,6.5,7.5,0.0,Low,Partial withdrawal subject to scheme rules,0,High,True,0.0,15,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,False,True,False,False,True,84.0,96.0,Long lock-in reduces flexibility | Rates can be revised by the government | Contribution limits apply,ppf | tax | retirement | government saving
epf,EPF,Government Savings,Employees Provident Fund,"A regulated retirement savings arrangement for eligible employees, typically funded through salary contributions.","EPF: A regulated retirement savings arrangement for eligible employees, typically funded through salary contributions.",Low,Secure Saver | Conservative Planner,Retirement | Tax Saving,0.0,0.0,7.0,8.5,0.0,Low,Subject to employment and scheme rules,0,High,True,0.0,15,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,False,True,False,False,True,86.0,95.0,Access is restricted by scheme rules | Eligibility depends on employment | Rates can change over time,epf | provident fund | retirement | tax
nps,NPS,Government Savings,National Pension System,"A regulated long-term pension account that can combine equity, corporate debt, and government securities.","NPS: A regulated long-term pension account that can combine equity, corporate debt, and government securities.",Medium,Secure Saver | Conservative Planner | Balanced Builder | Strategic Investor,Retirement | Tax Saving,500.0,500.0,7.0,11.0,10.0,Low,Restricted until retirement subject to scheme rules,0,High,True,0.12,15,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,True,False,False,True,74.0,91.0,Withdrawals are restricted | Market-linked choices can fluctuate | Annuity rules may apply,nps | pension | retirement | tax
index-fund,Index Fund,Indian Equity,Broad Market Index Fund,An equity mutual fund designed to track a market index at a relatively low cost.,Index Fund: An equity mutual fund designed to track a market index at a relatively low cost.,Medium,Balanced Builder | Strategic Investor | Growth Explorer,Wealth Creation | Retirement | Child Education,500.0,500.0,9.0,13.0,16.0,Moderate,2-3 business days,0,Moderate,False,0.2,7,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,True,False,False,False,91.0,86.0,Market value can fall substantially in the short term | Index concentration and tracking error are possible,index | passive | equity | wealth creation | retirement
large-cap-fund,Large Cap Fund,Indian Equity,Large Cap Equity Fund,"An equity mutual fund investing primarily in larger, established companies.","Large Cap Fund: An equity mutual fund investing primarily in larger, established companies.",Medium,Balanced Builder | Strategic Investor,Wealth Creation | Retirement | Child Education,500.0,500.0,8.5,12.5,15.0,Moderate,2-3 business days,0,Moderate,False,0.75,6,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,True,False,False,False,82.0,82.0,Equity markets are volatile | Active manager choices may lag the benchmark,large cap | equity | retirement | wealth creation
flexi-cap-fund,Flexi Cap Fund,Indian Equity,Flexi Cap Equity Fund,"An equity fund whose manager can invest across large-, mid-, and small-company segments.","Flexi Cap Fund: An equity fund whose manager can invest across large-, mid-, and small-company segments.",Medium,Balanced Builder | Strategic Investor,Wealth Creation | Retirement | Child Education,500.0,500.0,9.0,14.0,17.0,Moderate,2-3 business days,0,Moderate,False,0.85,7,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,True,False,False,False,86.0,81.0,Broad equity drawdowns | Portfolio style can change with manager decisions,flexi cap | equity | wealth creation | long term
mid-cap-fund,Mid Cap Fund,Indian Equity,Mid Cap Equity Fund,An equity fund focused on mid-sized companies with higher growth potential and higher volatility.,Mid Cap Fund: An equity fund focused on mid-sized companies with higher growth potential and higher volatility.,High,Balanced Builder | Strategic Investor | Growth Explorer | Aggressive Wealth Seeker,Wealth Creation | Retirement | Child Education,500.0,1000.0,10.0,16.0,22.0,Moderate,2-3 business days,0,Moderate,False,0.9,8,18.0,75.0,0.0,10000000.0,0,High,True,False,True,False,False,False,77.0,78.0,Large and prolonged drawdowns | Mid-cap valuations can change quickly,mid cap | growth | equity | wealth creation
small-cap-fund,Small Cap Fund,Indian Equity,Small Cap Equity Fund,"An equity fund investing in smaller companies, intended only for long horizons and high volatility tolerance.","Small Cap Fund: An equity fund investing in smaller companies, intended only for long horizons and high volatility tolerance.",High,Growth Explorer | Aggressive Wealth Seeker,Wealth Creation | Child Education,500.0,1000.0,11.0,18.0,28.0,Moderate,2-3 business days,0,Moderate,False,0.95,10,18.0,75.0,0.0,10000000.0,0,High,True,False,False,False,False,False,70.0,74.0,Very high volatility | Liquidity and valuation risk during market stress | May underperform for extended periods,small cap | high growth | equity | aggressive
elss,ELSS,Indian Equity,Equity Linked Savings Scheme,A diversified equity mutual fund with a statutory three-year lock-in and tax-saving eligibility subject to law.,ELSS: A diversified equity mutual fund with a statutory three-year lock-in and tax-saving eligibility subject to law.,High,Balanced Builder | Strategic Investor | Growth Explorer | Aggressive Wealth Seeker,Tax Saving | Wealth Creation | Retirement,500.0,500.0,9.0,15.0,20.0,Low,After 3-year statutory lock-in,36,High,True,0.9,7,18.0,75.0,0.0,10000000.0,0,High,True,False,True,False,False,False,82.0,80.0,Equity losses can occur during the lock-in | Tax treatment can change | Cannot be redeemed before lock-in ends,elss | tax | tax saving | equity
gold-etf,Gold ETF,Commodity,Gold Exchange Traded Fund,An exchange-traded fund designed to track domestic gold prices without storing physical gold.,Gold ETF: An exchange-traded fund designed to track domestic gold prices without storing physical gold.,Medium,Balanced Builder | Strategic Investor | Growth Explorer,Wealth Creation | Retirement,100.0,0.0,5.0,10.0,18.0,High,Market settlement cycle,0,Moderate,True,0.45,5,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,True,False,False,False,83.0,82.0,Gold prices can be volatile | No cash income | Trading requires market access and may involve tracking error,gold | gold etf | inflation | commodity
silver-etf,Silver ETF,Commodity,Silver Exchange Traded Fund,An exchange-traded fund offering market-linked exposure to silver prices.,Silver ETF: An exchange-traded fund offering market-linked exposure to silver prices.,High,Balanced Builder | Strategic Investor | Growth Explorer | Aggressive Wealth Seeker,Wealth Creation | Retirement,100.0,0.0,4.0,12.0,25.0,High,Market settlement cycle,0,Moderate,True,0.55,5,18.0,75.0,0.0,10000000.0,0,High,True,False,True,False,False,False,56.0,75.0,Higher commodity-price volatility | No cash income | Industrial-demand changes can affect prices,silver | silver etf | commodity | inflation
sovereign-gold-bond,Sovereign Gold Bond,Government Savings,Sovereign Gold Bond,A government-issued gold-linked security with a long maturity and market-linked value.,Sovereign Gold Bond: A government-issued gold-linked security with a long maturity and market-linked value.,Medium,Secure Saver | Conservative Planner | Balanced Builder | Strategic Investor,Wealth Creation | Retirement,1.0,0.0,4.0,9.0,16.0,Low,Tradable subject to market liquidity; scheduled maturity,0,Moderate,True,0.0,8,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,True,False,False,True,73.0,92.0,Long holding period | Secondary-market price and liquidity can differ from gold value | Issue availability varies,gold | sovereign gold bond | sgb | government
reit,REIT,Real Asset,Real Estate Investment Trust,A listed trust that gives market-linked exposure to income-producing real estate assets.,REIT: A listed trust that gives market-linked exposure to income-producing real estate assets.,Medium,Balanced Builder | Strategic Investor | Growth Explorer,Passive Income | Wealth Creation | Retirement,100.0,0.0,7.0,11.0,18.0,High,Market settlement cycle,0,Moderate,False,0.5,5,18.0,75.0,0.0,10000000.0,0,Medium | High,True,False,True,False,False,False,66.0,77.0,Unit prices can be volatile | Rental income and property valuations can change | Market liquidity varies,reit | real estate | monthly income | passive income
international-index-fund,International Index Fund,International Equity,International Equity Index Fund,"A fund tracking an overseas equity index, adding geographic and currency diversification to a portfolio.","International Index Fund: A fund tracking an overseas equity index, adding geographic and currency diversification to a portfolio.",High,Balanced Builder | Strategic Investor | Growth Explorer | Aggressive Wealth Seeker,Wealth Creation | Retirement | Child Education,500.0,500.0,8.0,14.0,21.0,Moderate,2-4 business days,0,Moderate,False,0.65,8,18.0,75.0,0.0,10000000.0,0,High,True,False,True,False,False,False,72.0,79.0,Foreign markets and currency can both fluctuate | Tax and investment limits may change | Tracking difference is possible,international | global index | us equity | diversification
cash-reserve,Cash Reserve,Cash & Savings,Cash Reserve,Cash set aside for immediate needs and near-term bills rather than long-term investment growth.,Cash Reserve: Cash set aside for immediate needs and near-term bills rather than long-term investment growth.,Low,Secure Saver | Conservative Planner | Balanced Builder | Strategic Investor | Growth Explorer | Aggressive Wealth Seeker,Emergency Fund | Vacation | Car,0.0,0.0,2.0,4.0,0.0,Instant,Immediate,0,Low,False,0.0,0,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,True,False,True,False,False,90.0,85.0,Low return may not outpace inflation | Physical cash can be lost or stolen | Large balances may earn little,cash | safe investment | emergency | liquid
emergency-savings-account,Emergency Savings Account,Cash & Savings,Savings Bank Account,A bank savings account used to keep emergency money accessible while earning a variable deposit rate.,Emergency Savings Account: A bank savings account used to keep emergency money accessible while earning a variable deposit rate.,Low,Secure Saver | Conservative Planner | Balanced Builder | Strategic Investor | Growth Explorer | Aggressive Wealth Seeker,Emergency Fund | Vacation | Car,0.0,0.0,2.5,5.0,0.0,Instant,Immediate,0,Low,False,0.0,0,18.0,75.0,0.0,10000000.0,0,Low | Medium,True,True,False,True,False,False,95.0,89.0,Interest may not keep up with inflation | Deposit insurance limits and bank terms apply | Rates can change,emergency savings | safe investment | bank account | liquid
